time_h,pH,temperature_C,pressure_bar,dissolved_oxygen_pct,viable_cell_density,dead_cell_density,viability_pct,growth_rate_h,death_rate_h,substrate_g_L,lactate_g_L
0.0,7.2,37.0,1.2,40.0,500000,0,100.0,0.0,0.0,10.0,0.0
0.016667,7.2008,36.9933,1.2005,40.0607,500120.0,139.0,99.97,0.031169,0.016727,10.0017,0.0
0.033333,7.1957,36.985,1.2005,40.0369,500241.0,279.0,99.94,0.031182,0.016718,10.0033,0.0
0.05,7.1958,36.9798,1.2011,40.085,500361.0,418.0,99.92,0.031174,0.016726,10.005,0.0
0.066667,7.1961,36.9874,1.2013,40.0248,500482.0,557.0,99.89,0.031183,0.01672,10.0067,0.0
0.083333,7.1971,36.9814,1.2018,40.0202,500602.0,697.0,99.86,0.031172,0.016727,10.0083,0.0
0.1,7.1967,36.9773,1.2024,40.0091,500723.0,836.0,99.83,0.031171,0.016729,10.01,0.0
0.116667,7.1957,36.9754,1.2026,40.0322,500843.0,975.0,99.81,0.031167,0.016734,10.0117,0.0
0.133333,7.1969,36.9786,1.2038,40.0041,500964.0,1115.0,99.78,0.03117,0.016732,10.0133,0.0
0.15,7.1957,36.9738,1.204,40.0768,501084.0,1254.0,99.75,0.031165,0.016735,10.015,0.0
0.166667,7.1955,36.9688,1.2032,40.1145,501205.0,1393.0,99.72,0.031178,0.016727,10.0167,0.0
0.183333,7.1976,36.9728,1.2025,40.1231,501326.0,1533.0,99.7,0.031185,0.016724,10.0183,0.0
0.2,7.1979,36.9747,1.2029,40.1307,501447.0,1672.0,99.67,0.031191,0.016718,10.02,0.0
0.216667,7.1997,36.9756,1.2029,40.1641,501568.0,1811.0,99.64,0.031193,0.016715,10.0216,0.0
0.233333,7.196,36.9739,1.2024,40.1138,501689.0,1950.0,99.61,0.031201,0.016709,10.0233,0.0
0.25,7.1954,36.984,1.2017,40.1699,501810.0,2089.0,99.59,0.031189,0.016719,10.025,0.0
0.266667,7.1912,36.9821,1.2017,40.1983,501931.0,2228.0,99.56,0.031204,0.016706,10.0266,0.0
0.283333,7.1933,36.9875,1.2014,40.1574,502052.0,2367.0,99.53,0.031204,0.016708,10.0283,0.0
0.3,7.1957,36.9865,1.2004,40.0755,502174.0,2506.0,99.5,0.0312,0.016709,10.03,0.0
0.316667,7.1935,36.99,1.2005,40.1159,502295.0,2645.0,99.48,0.031186,0.016719,10.0316,0.0
0.333333,7.1926,36.9912,1.2009,40.0895,502416.0,2784.0,99.45,0.031193,0.016715,10.0333,0.0001
0.35,7.194,36.987,1.2006,40.0598,502537.0,2923.0,99.42,0.031187,0.01672,10.035,0.0001
0.366667,7.1911,36.9904,1.2002,40.0573,502658.0,3063.0,99.39,0.031182,0.016724,10.0366,0.0001
